NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: ASTORIA (Tongue Point), Oreg.
State: OR
Stationid: 9439040
Prediction Type: Harmonic
From: 20160101 12:00AM - 20161231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2016/01/01	Fri	06:16 AM	8.2		250		H
2016/01/01	Fri	12:31 PM	3.0		91		L
2016/01/01	Fri	06:13 PM	6.6		201		H
2016/01/02	Sat	12:18 AM	2.1		64		L
2016/01/02	Sat	07:01 AM	8.2		250		H
2016/01/02	Sat	01:36 PM	2.7		82		L
2016/01/02	Sat	07:26 PM	6.3		192		H
2016/01/03	Sun	01:12 AM	2.7		82		L
2016/01/03	Sun	07:49 AM	8.3		253		H
2016/01/03	Sun	02:42 PM	2.3		70		L
2016/01/03	Sun	08:42 PM	6.2		189		H
2016/01/04	Mon	02:12 AM	3.1		94		L
2016/01/04	Mon	08:38 AM	8.5		259		H
2016/01/04	Mon	03:42 PM	1.7		52		L
2016/01/04	Mon	09:52 PM	6.5		198		H
2016/01/05	Tue	03:11 AM	3.3		101		L
2016/01/05	Tue	09:25 AM	8.7		265		H
2016/01/05	Tue	04:34 PM	1.1		34		L
2016/01/05	Tue	10:52 PM	6.9		210		H
2016/01/06	Wed	04:07 AM	3.4		104		L
2016/01/06	Wed	10:11 AM	9.0		274		H
2016/01/06	Wed	05:21 PM	0.6		18		L
2016/01/06	Wed	11:44 PM	7.3		223		H
2016/01/07	Thu	04:58 AM	3.4		104		L
2016/01/07	Thu	10:54 AM	9.3		283		H
2016/01/07	Thu	06:04 PM	0.1		3		L
2016/01/08	Fri	12:29 AM	7.7		235		H
2016/01/08	Fri	05:47 AM	3.4		104		L
2016/01/08	Fri	11:36 AM	9.5		290		H
2016/01/08	Fri	06:45 PM	-0.3		-9		L
2016/01/09	Sat	01:12 AM	8.0		244		H
2016/01/09	Sat	06:34 AM	3.2		98		L
2016/01/09	Sat	12:18 PM	9.8		299		H
2016/01/09	Sat	07:25 PM	-0.6		-18		L
2016/01/10	Sun	01:52 AM	8.2		250		H
2016/01/10	Sun	07:19 AM	3.0		91		L
2016/01/10	Sun	01:00 PM	9.9		302		H
2016/01/10	Sun	08:04 PM	-0.8		-24		L
2016/01/11	Mon	02:31 AM	8.5		259		H
2016/01/11	Mon	08:04 AM	2.8		85		L
2016/01/11	Mon	01:43 PM	9.9		302		H
2016/01/11	Mon	08:41 PM	-0.8		-24		L
2016/01/12	Tue	03:09 AM	8.6		262		H
2016/01/12	Tue	08:49 AM	2.6		79		L
2016/01/12	Tue	02:29 PM	9.7		296		H
2016/01/12	Tue	09:19 PM	-0.7		-21		L
2016/01/13	Wed	03:48 AM	8.8		268		H
2016/01/13	Wed	09:36 AM	2.3		70		L
2016/01/13	Wed	03:18 PM	9.3		283		H
2016/01/13	Wed	09:58 PM	-0.3		-9		L
2016/01/14	Thu	04:28 AM	8.9		271		H
2016/01/14	Thu	10:28 AM	2.1		64		L
2016/01/14	Thu	04:11 PM	8.7		265		H
2016/01/14	Thu	10:40 PM	0.2		6		L
2016/01/15	Fri	05:12 AM	9.0		274		H
2016/01/15	Fri	11:25 AM	2.0		61		L
2016/01/15	Fri	05:13 PM	8.0		244		H
2016/01/15	Fri	11:27 PM	0.9		27		L
2016/01/16	Sat	06:00 AM	9.1		277		H
2016/01/16	Sat	12:32 PM	1.9		58		L
2016/01/16	Sat	06:24 PM	7.3		223		H
2016/01/17	Sun	12:22 AM	1.7		52		L
2016/01/17	Sun	06:54 AM	9.1		277		H
2016/01/17	Sun	01:46 PM	1.5		46		L
2016/01/17	Sun	07:44 PM	6.9		210		H
2016/01/18	Mon	01:26 AM	2.4		73		L
2016/01/18	Mon	07:52 AM	9.2		280		H
2016/01/18	Mon	02:59 PM	1.0		30		L
2016/01/18	Mon	09:05 PM	6.9		210		H
2016/01/19	Tue	02:36 AM	2.8		85		L
2016/01/19	Tue	08:53 AM	9.4		287		H
2016/01/19	Tue	04:06 PM	0.5		15		L
2016/01/19	Tue	10:18 PM	7.2		219		H
2016/01/20	Wed	03:43 AM	3.0		91		L
2016/01/20	Wed	09:52 AM	9.6		293		H
2016/01/20	Wed	05:04 PM	-0.1		-3		L
2016/01/20	Wed	11:20 PM	7.7		235		H
2016/01/21	Thu	04:45 AM	3.0		91		L
2016/01/21	Thu	10:47 AM	9.7		296		H
2016/01/21	Thu	05:56 PM	-0.5		-15		L
2016/01/22	Fri	12:13 AM	8.1		247		H
2016/01/22	Fri	05:41 AM	2.9		88		L
2016/01/22	Fri	11:38 AM	9.8		299		H
2016/01/22	Fri	06:42 PM	-0.7		-21		L
2016/01/23	Sat	01:00 AM	8.4		256		H
2016/01/23	Sat	06:33 AM	2.8		85		L
2016/01/23	Sat	12:24 PM	9.7		296		H
2016/01/23	Sat	07:25 PM	-0.7		-21		L
2016/01/24	Sun	01:44 AM	8.6		262		H
2016/01/24	Sun	07:21 AM	2.6		79		L
2016/01/24	Sun	01:09 PM	9.5		290		H
2016/01/24	Sun	08:04 PM	-0.6		-18		L
2016/01/25	Mon	02:24 AM	8.7		265		H
2016/01/25	Mon	08:05 AM	2.5		76		L
2016/01/25	Mon	01:51 PM	9.2		280		H
2016/01/25	Mon	08:39 PM	-0.3		-9		L
2016/01/26	Tue	03:01 AM	8.7		265		H
2016/01/26	Tue	08:47 AM	2.4		73		L
2016/01/26	Tue	02:31 PM	8.9		271		H
2016/01/26	Tue	09:12 PM	0.0		0		L
2016/01/27	Wed	03:35 AM	8.6		262		H
2016/01/27	Wed	09:28 AM	2.3		70		L
2016/01/27	Wed	03:11 PM	8.4		256		H
2016/01/27	Wed	09:43 PM	0.5		15		L
2016/01/28	Thu	04:08 AM	8.5		259		H
2016/01/28	Thu	10:08 AM	2.3		70		L
2016/01/28	Thu	03:53 PM	7.9		241		H
2016/01/28	Thu	10:13 PM	1.0		30		L
2016/01/29	Fri	04:41 AM	8.4		256		H
2016/01/29	Fri	10:51 AM	2.3		70		L
2016/01/29	Fri	04:39 PM	7.3		223		H
2016/01/29	Fri	10:44 PM	1.6		49		L
2016/01/30	Sat	05:15 AM	8.3		253		H
2016/01/30	Sat	11:39 AM	2.4		73		L
2016/01/30	Sat	05:33 PM	6.7		204		H
2016/01/30	Sat	11:21 PM	2.2		67		L
2016/01/31	Sun	05:53 AM	8.3		253		H
2016/01/31	Sun	12:37 PM	2.4		73		L
2016/01/31	Sun	06:39 PM	6.2		189		H
2016/02/01	Mon	12:08 AM	2.8		85		L
2016/02/01	Mon	06:37 AM	8.2		250		H
2016/02/01	Mon	01:45 PM	2.2		67		L
2016/02/01	Mon	07:57 PM	6.0		183		H
2016/02/02	Tue	01:10 AM	3.3		101		L
2016/02/02	Tue	07:31 AM	8.2		250		H
2016/02/02	Tue	02:53 PM	1.9		58		L
2016/02/02	Tue	09:15 PM	6.2		189		H
2016/02/03	Wed	02:21 AM	3.7		113		L
2016/02/03	Wed	08:29 AM	8.4		256		H
2016/02/03	Wed	03:55 PM	1.3		40		L
2016/02/03	Wed	10:22 PM	6.6		201		H
2016/02/04	Thu	03:29 AM	3.7		113		L
2016/02/04	Thu	09:28 AM	8.6		262		H
2016/02/04	Thu	04:48 PM	0.7		21		L
2016/02/04	Thu	11:16 PM	7.1		216		H
2016/02/05	Fri	04:30 AM	3.5		107		L
2016/02/05	Fri	10:22 AM	9.0		274		H
2016/02/05	Fri	05:36 PM	0.2		6		L
2016/02/06	Sat	12:03 AM	7.6		232		H
2016/02/06	Sat	05:24 AM	3.2		98		L
2016/02/06	Sat	11:13 AM	9.3		283		H
2016/02/06	Sat	06:19 PM	-0.3		-9		L
2016/02/07	Sun	12:44 AM	8.0		244		H
2016/02/07	Sun	06:14 AM	2.8		85		L
2016/02/07	Sun	12:01 PM	9.6		293		H
2016/02/07	Sun	07:01 PM	-0.7		-21		L
2016/02/08	Mon	01:24 AM	8.4		256		H
2016/02/08	Mon	07:03 AM	2.3		70		L
2016/02/08	Mon	12:49 PM	9.8		299		H
2016/02/08	Mon	07:41 PM	-0.8		-24		L
2016/02/09	Tue	02:01 AM	8.7		265		H
2016/02/09	Tue	07:49 AM	1.9		58		L
2016/02/09	Tue	01:36 PM	9.8		299		H
2016/02/09	Tue	08:20 PM	-0.8		-24		L
2016/02/10	Wed	02:39 AM	9.0		274		H
2016/02/10	Wed	08:36 AM	1.4		43		L
2016/02/10	Wed	02:24 PM	9.6		293		H
2016/02/10	Wed	08:58 PM	-0.6		-18		L
2016/02/11	Thu	03:16 AM	9.2		280		H
2016/02/11	Thu	09:23 AM	1.1		34		L
2016/02/11	Thu	03:14 PM	9.1		277		H
2016/02/11	Thu	09:37 PM	-0.2		-6		L
2016/02/12	Fri	03:55 AM	9.4		287		H
2016/02/12	Fri	10:13 AM	1.0		30		L
2016/02/12	Fri	04:08 PM	8.5		259		H
2016/02/12	Fri	10:18 PM	0.5		15		L
2016/02/13	Sat	04:38 AM	9.4		287		H
