NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Coos Bay
State: OR
Stationid: 9432845
ReferencedToStationName: Charleston
ReferenceToStationId: 9432780
HeightOffsetLow: *0.88
HeightOffsetHigh: * 0.96
TimeOffsetLow: 88
TimeOffsetHigh: 86
Prediction Type: Subordinate
From: 20161201 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2016/12/01	Thu	02:53 AM	6.5		198		H
2016/12/01	Thu	08:06 AM	2.9		88		L
2016/12/01	Thu	01:56 PM	7.7		235		H
2016/12/01	Thu	08:50 PM	-0.3		-9		L
2016/12/02	Fri	03:32 AM	6.5		198		H
2016/12/02	Fri	08:43 AM	3.0		91		L
2016/12/02	Fri	02:30 PM	7.5		229		H
2016/12/02	Fri	09:26 PM	-0.2		-6		L
2016/12/03	Sat	04:13 AM	6.4		195		H
2016/12/03	Sat	09:24 AM	3.2		98		L
2016/12/03	Sat	03:08 PM	7.2		219		H
2016/12/03	Sat	10:05 PM	0.0		0		L
2016/12/04	Sun	04:57 AM	6.4		195		H
2016/12/04	Sun	10:12 AM	3.2		98		L
2016/12/04	Sun	03:51 PM	6.9		210		H
2016/12/04	Sun	10:47 PM	0.2		6		L
2016/12/05	Mon	05:43 AM	6.4		195		H
2016/12/05	Mon	11:08 AM	3.2		98		L
2016/12/05	Mon	04:43 PM	6.5		198		H
2016/12/05	Mon	11:33 PM	0.5		15		L
2016/12/06	Tue	06:32 AM	6.6		201		H
2016/12/06	Tue	12:16 PM	3.0		91		L
2016/12/06	Tue	05:48 PM	6.1		186		H
2016/12/07	Wed	12:25 AM	0.9		27		L
2016/12/07	Wed	07:23 AM	6.8		207		H
2016/12/07	Wed	01:29 PM	2.6		79		L
2016/12/07	Wed	07:05 PM	5.8		177		H
2016/12/08	Thu	01:22 AM	1.2		37		L
2016/12/08	Thu	08:13 AM	7.2		219		H
2016/12/08	Thu	02:39 PM	2.0		61		L
2016/12/08	Thu	08:27 PM	5.7		174		H
2016/12/09	Fri	02:22 AM	1.5		46		L
2016/12/09	Fri	09:03 AM	7.7		235		H
2016/12/09	Fri	03:42 PM	1.1		34		L
2016/12/09	Fri	09:45 PM	5.8		177		H
2016/12/10	Sat	03:23 AM	1.8		55		L
2016/12/10	Sat	09:52 AM	8.2		250		H
2016/12/10	Sat	04:38 PM	0.3		9		L
2016/12/10	Sat	10:54 PM	6.2		189		H
2016/12/11	Sun	04:20 AM	2.0		61		L
2016/12/11	Sun	10:40 AM	8.6		262		H
2016/12/11	Sun	05:30 PM	-0.5		-15		L
2016/12/11	Sun	11:55 PM	6.6		201		H
2016/12/12	Mon	05:15 AM	2.1		64		L
2016/12/12	Mon	11:27 AM	9.0		274		H
2016/12/12	Mon	06:20 PM	-1.1		-34		L
2016/12/13	Tue	12:50 AM	6.9		210		H
2016/12/13	Tue	06:08 AM	2.2		67		L
2016/12/13	Tue	12:15 PM	9.2		280		H
2016/12/13	Tue	07:07 PM	-1.5		-46		L
2016/12/14	Wed	01:42 AM	7.2		219		H
2016/12/14	Wed	07:00 AM	2.2		67		L
2016/12/14	Wed	01:02 PM	9.3		283		H
2016/12/14	Wed	07:54 PM	-1.7		-52		L
2016/12/15	Thu	02:32 AM	7.3		223		H
2016/12/15	Thu	07:51 AM	2.3		70		L
2016/12/15	Thu	01:50 PM	9.0		274		H
2016/12/15	Thu	08:41 PM	-1.5		-46		L
2016/12/16	Fri	03:21 AM	7.4		226		H
2016/12/16	Fri	08:43 AM	2.4		73		L
2016/12/16	Fri	02:38 PM	8.6		262		H
2016/12/16	Fri	09:27 PM	-1.2		-37		L
2016/12/17	Sat	04:10 AM	7.3		223		H
2016/12/17	Sat	09:37 AM	2.5		76		L
2016/12/17	Sat	03:29 PM	8.0		244		H
2016/12/17	Sat	10:14 PM	-0.7		-21		L
2016/12/18	Sun	05:00 AM	7.2		219		H
2016/12/18	Sun	10:35 AM	2.6		79		L
2016/12/18	Sun	04:22 PM	7.3		223		H
2016/12/18	Sun	11:02 PM	-0.1		-3		L
2016/12/19	Mon	05:50 AM	7.1		216		H
2016/12/19	Mon	11:38 AM	2.6		79		L
2016/12/19	Mon	05:20 PM	6.5		198		H
2016/12/19	Mon	11:51 PM	0.6		18		L
2016/12/20	Tue	06:42 AM	7.1		216		H
2016/12/20	Tue	12:47 PM	2.5		76		L
2016/12/20	Tue	06:25 PM	5.9		180		H
2016/12/21	Wed	12:43 AM	1.3		40		L
2016/12/21	Wed	07:33 AM	7.1		216		H
2016/12/21	Wed	01:58 PM	2.3		70		L
2016/12/21	Wed	07:39 PM	5.4		165		H
2016/12/22	Thu	01:38 AM	1.8		55		L
2016/12/22	Thu	08:23 AM	7.1		216		H
2016/12/22	Thu	03:05 PM	1.9		58		L
2016/12/22	Thu	08:57 PM	5.2		158		H
2016/12/23	Fri	02:34 AM	2.3		70		L
2016/12/23	Fri	09:10 AM	7.2		219		H
2016/12/23	Fri	04:02 PM	1.4		43		L
2016/12/23	Fri	10:09 PM	5.3		162		H
2016/12/24	Sat	03:30 AM	2.6		79		L
2016/12/24	Sat	09:54 AM	7.4		226		H
2016/12/24	Sat	04:51 PM	1.0		30		L
2016/12/24	Sat	11:10 PM	5.5		168		H
2016/12/25	Sun	04:21 AM	2.8		85		L
2016/12/25	Sun	10:35 AM	7.6		232		H
2016/12/25	Sun	05:32 PM	0.6		18		L
2016/12/26	Mon	12:00 AM	5.8		177		H
2016/12/26	Mon	05:08 AM	2.9		88		L
2016/12/26	Mon	11:13 AM	7.7		235		H
2016/12/26	Mon	06:10 PM	0.2		6		L
2016/12/27	Tue	12:43 AM	6.1		186		H
2016/12/27	Tue	05:51 AM	3.0		91		L
2016/12/27	Tue	11:51 AM	7.8		238		H
