NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Southbeach
State: OR
Stationid: 9435380
Prediction Type: Harmonic
From: 20161201 12:00AM - 20171231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2016/12/01	Thu	01:38 AM	7.5		229		H
2016/12/01	Thu	06:49 AM	3.6		110		L
2016/12/01	Thu	12:45 PM	8.7		265		H
2016/12/01	Thu	07:30 PM	-0.3		-9		L
2016/12/02	Fri	02:17 AM	7.5		229		H
2016/12/02	Fri	07:26 AM	3.8		116		L
2016/12/02	Fri	01:19 PM	8.5		259		H
2016/12/02	Fri	08:06 PM	-0.2		-6		L
2016/12/03	Sat	02:57 AM	7.5		229		H
2016/12/03	Sat	08:07 AM	3.9		119		L
2016/12/03	Sat	01:56 PM	8.2		250		H
2016/12/03	Sat	08:44 PM	0.0		0		L
2016/12/04	Sun	03:40 AM	7.4		226		H
2016/12/04	Sun	08:53 AM	4.0		122		L
2016/12/04	Sun	02:38 PM	7.8		238		H
2016/12/04	Sun	09:27 PM	0.4		12		L
2016/12/05	Mon	04:26 AM	7.4		226		H
2016/12/05	Mon	09:50 AM	4.0		122		L
2016/12/05	Mon	03:29 PM	7.3		223		H
2016/12/05	Mon	10:14 PM	0.7		21		L
2016/12/06	Tue	05:14 AM	7.5		229		H
2016/12/06	Tue	10:55 AM	3.7		113		L
2016/12/06	Tue	04:34 PM	6.9		210		H
2016/12/06	Tue	11:06 PM	1.2		37		L
2016/12/07	Wed	06:05 AM	7.8		238		H
2016/12/07	Wed	12:07 PM	3.3		101		L
2016/12/07	Wed	05:51 PM	6.5		198		H
2016/12/08	Thu	12:03 AM	1.6		49		L
2016/12/08	Thu	06:58 AM	8.2		250		H
2016/12/08	Thu	01:18 PM	2.5		76		L
2016/12/08	Thu	07:13 PM	6.4		195		H
2016/12/09	Fri	01:04 AM	2.0		61		L
2016/12/09	Fri	07:49 AM	8.7		265		H
2016/12/09	Fri	02:23 PM	1.5		46		L
2016/12/09	Fri	08:32 PM	6.7		204		H
2016/12/10	Sat	02:05 AM	2.3		70		L
2016/12/10	Sat	08:39 AM	9.2		280		H
2016/12/10	Sat	03:20 PM	0.4		12		L
2016/12/10	Sat	09:40 PM	7.1		216		H
2016/12/11	Sun	03:03 AM	2.5		76		L
2016/12/11	Sun	09:28 AM	9.8		299		H
2016/12/11	Sun	04:12 PM	-0.5		-15		L
2016/12/11	Sun	10:41 PM	7.6		232		H
2016/12/12	Mon	03:58 AM	2.6		79		L
2016/12/12	Mon	10:16 AM	10.2		311		H
2016/12/12	Mon	05:02 PM	-1.3		-40		L
2016/12/12	Mon	11:37 PM	8.0		244		H
2016/12/13	Tue	04:51 AM	2.7		82		L
2016/12/13	Tue	11:04 AM	10.5		320		H
2016/12/13	Tue	05:50 PM	-1.8		-55		L
2016/12/14	Wed	12:29 AM	8.4		256		H
2016/12/14	Wed	05:43 AM	2.8		85		L
2016/12/14	Wed	11:52 AM	10.5		320		H
2016/12/14	Wed	06:37 PM	-2.0		-61		L
2016/12/15	Thu	01:19 AM	8.6		262		H
2016/12/15	Thu	06:34 AM	2.9		88		L
2016/12/15	Thu	12:39 PM	10.3		314		H
2016/12/15	Thu	07:22 PM	-1.8		-55		L
2016/12/16	Fri	02:07 AM	8.6		262		H
2016/12/16	Fri	07:25 AM	3.0		91		L
2016/12/16	Fri	01:27 PM	9.8		299		H
2016/12/16	Fri	08:08 PM	-1.4		-43		L
2016/12/17	Sat	02:55 AM	8.5		259		H
2016/12/17	Sat	08:18 AM	3.1		94		L
2016/12/17	Sat	02:16 PM	9.1		277		H
2016/12/17	Sat	08:54 PM	-0.7		-21		L
2016/12/18	Sun	03:44 AM	8.4		256		H
2016/12/18	Sun	09:15 AM	3.2		98		L
2016/12/18	Sun	03:08 PM	8.3		253		H
2016/12/18	Sun	09:41 PM	0.0		0		L
2016/12/19	Mon	04:33 AM	8.2		250		H
2016/12/19	Mon	10:17 AM	3.3		101		L
2016/12/19	Mon	04:04 PM	7.5		229		H
2016/12/19	Mon	10:30 PM	0.9		27		L
2016/12/20	Tue	05:22 AM	8.1		247		H
2016/12/20	Tue	11:26 AM	3.2		98		L
2016/12/20	Tue	05:07 PM	6.7		204		H
2016/12/20	Tue	11:20 PM	1.7		52		L
2016/12/21	Wed	06:13 AM	8.1		247		H
2016/12/21	Wed	12:39 PM	2.9		88		L
2016/12/21	Wed	06:19 PM	6.1		186		H
2016/12/22	Thu	12:14 AM	2.4		73		L
2016/12/22	Thu	07:04 AM	8.1		247		H
2016/12/22	Thu	01:48 PM	2.5		76		L
2016/12/22	Thu	07:39 PM	5.9		180		H
2016/12/23	Fri	01:11 AM	3.0		91		L
2016/12/23	Fri	07:52 AM	8.2		250		H
2016/12/23	Fri	02:47 PM	1.9		58		L
2016/12/23	Fri	08:56 PM	6.0		183		H
2016/12/24	Sat	02:08 AM	3.4		104		L
2016/12/24	Sat	08:37 AM	8.4		256		H
2016/12/24	Sat	03:34 PM	1.3		40		L
2016/12/24	Sat	09:58 PM	6.3		192		H
2016/12/25	Sun	03:00 AM	3.7		113		L
2016/12/25	Sun	09:18 AM	8.6		262		H
2016/12/25	Sun	04:15 PM	0.8		24		L
2016/12/25	Sun	10:48 PM	6.7		204		H
2016/12/26	Mon	03:47 AM	3.8		116		L
2016/12/26	Mon	09:58 AM	8.8		268		H
2016/12/26	Mon	04:53 PM	0.4		12		L
2016/12/26	Mon	11:30 PM	7.0		213		H
2016/12/27	Tue	04:31 AM	3.8		116		L
2016/12/27	Tue	10:36 AM	8.9		271		H
2016/12/27	Tue	05:29 PM	0.0		0		L
2016/12/28	Wed	12:08 AM	7.3		223		H
2016/12/28	Wed	05:12 AM	3.8		116		L
2016/12/28	Wed	11:14 AM	9.1		277		H
2016/12/28	Wed	06:03 PM	-0.3		-9		L
2016/12/29	Thu	12:45 AM	7.6		232		H
2016/12/29	Thu	05:52 AM	3.8		116		L
2016/12/29	Thu	11:51 AM	9.1		277		H
2016/12/29	Thu	06:37 PM	-0.4		-12		L
2016/12/30	Fri	01:21 AM	7.8		238		H
2016/12/30	Fri	06:31 AM	3.7		113		L
2016/12/30	Fri	12:27 PM	9.0		274		H
2016/12/30	Fri	07:11 PM	-0.5		-15		L
2016/12/31	Sat	01:57 AM	7.9		241		H
2016/12/31	Sat	07:10 AM	3.6		110		L
2016/12/31	Sat	01:05 PM	8.9		271		H
2016/12/31	Sat	07:46 PM	-0.4		-12		L
2017/01/01	Sun	02:36 AM	7.9		241		H
2017/01/01	Sun	07:50 AM	3.7		113		L
2017/01/01	Sun	01:42 PM	8.7		265		H
2017/01/01	Sun	08:24 PM	-0.3		-9		L
2017/01/02	Mon	03:15 AM	7.9		241		H
2017/01/02	Mon	08:36 AM	3.6		110		L
2017/01/02	Mon	02:25 PM	8.3		253		H
2017/01/02	Mon	09:03 PM	0.1		3		L
2017/01/03	Tue	03:55 AM	8.0		244		H
2017/01/03	Tue	09:29 AM	3.4		104		L
2017/01/03	Tue	03:15 PM	7.7		235		H
2017/01/03	Tue	09:46 PM	0.6		18		L
2017/01/04	Wed	04:39 AM	8.1		247		H
2017/01/04	Wed	10:30 AM	3.2		98		L
2017/01/04	Wed	04:16 PM	7.1		216		H
2017/01/04	Wed	10:34 PM	1.2		37		L
2017/01/05	Thu	05:26 AM	8.3		253		H
2017/01/05	Thu	11:38 AM	2.8		85		L
2017/01/05	Thu	05:29 PM	6.6		201		H
2017/01/05	Thu	11:27 PM	1.9		58		L
2017/01/06	Fri	06:18 AM	8.6		262		H
2017/01/06	Fri	12:50 PM	2.1		64		L
2017/01/06	Fri	06:53 PM	6.3		192		H
2017/01/07	Sat	12:28 AM	2.5		76		L
2017/01/07	Sat	07:13 AM	8.9		271		H
2017/01/07	Sat	02:01 PM	1.3		40		L
2017/01/07	Sat	08:18 PM	6.4		195		H
2017/01/08	Sun	01:34 AM	3.0		91		L
2017/01/08	Sun	08:09 AM	9.3		283		H
2017/01/08	Sun	03:03 PM	0.4		12		L
2017/01/08	Sun	09:33 PM	6.8		207		H
2017/01/09	Mon	02:40 AM	3.3		101		L
2017/01/09	Mon	09:04 AM	9.8		299		H
2017/01/09	Mon	03:59 PM	-0.4		-12		L
2017/01/09	Mon	10:36 PM	7.4		226		H
2017/01/10	Tue	03:41 AM	3.3		101		L
2017/01/10	Tue	09:57 AM	10.1		308		H
2017/01/10	Tue	04:51 PM	-1.1		-34		L
2017/01/10	Tue	11:32 PM	7.9		241		H
2017/01/11	Wed	04:38 AM	3.3		101		L
2017/01/11	Wed	10:49 AM	10.3		314		H
2017/01/11	Wed	05:39 PM	-1.5		-46		L
