NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables. 
Product Type: Annual Tide Prediction 
StationName: Southbeach
State: OR
Stationid: 9435380
Prediction Type: Harmonic
From: 20160101 12:00AM - 20161231 11:59PM
Units: feet(ft) also in centimeters(cm)
Time Zone: LST/LDT
Datum: MLLW
Interval Type: High/Low Tide Predictions
 
Date 		Day	Time		Pred(Ft)	Pred(cm)	High/Low
2016/01/01	Fri	05:15 AM	7.8		238		H
2016/01/01	Fri	11:27 AM	3.3		101		L
2016/01/01	Fri	05:05 PM	6.2		189		H
2016/01/01	Fri	11:09 PM	2.3		70		L
2016/01/02	Sat	06:01 AM	7.8		238		H
2016/01/02	Sat	12:35 PM	3.1		94		L
2016/01/02	Sat	06:16 PM	5.8		177		H
2016/01/02	Sat	11:59 PM	2.9		88		L
2016/01/03	Sun	06:48 AM	7.9		241		H
2016/01/03	Sun	01:41 PM	2.6		79		L
2016/01/03	Sun	07:36 PM	5.7		174		H
2016/01/04	Mon	12:56 AM	3.4		104		L
2016/01/04	Mon	07:37 AM	8.1		247		H
2016/01/04	Mon	02:39 PM	2.0		61		L
2016/01/04	Mon	08:51 PM	5.9		180		H
2016/01/05	Tue	01:55 AM	3.8		116		L
2016/01/05	Tue	08:25 AM	8.4		256		H
2016/01/05	Tue	03:27 PM	1.3		40		L
2016/01/05	Tue	09:53 PM	6.3		192		H
2016/01/06	Wed	02:51 AM	3.9		119		L
2016/01/06	Wed	09:10 AM	8.7		265		H
2016/01/06	Wed	04:10 PM	0.7		21		L
2016/01/06	Wed	10:44 PM	6.7		204		H
2016/01/07	Thu	03:42 AM	3.9		119		L
2016/01/07	Thu	09:53 AM	9.0		274		H
2016/01/07	Thu	04:49 PM	0.1		3		L
2016/01/07	Thu	11:28 PM	7.2		219		H
2016/01/08	Fri	04:29 AM	3.8		116		L
2016/01/08	Fri	10:36 AM	9.3		283		H
2016/01/08	Fri	05:28 PM	-0.4		-12		L
2016/01/09	Sat	12:09 AM	7.6		232		H
2016/01/09	Sat	05:14 AM	3.6		110		L
2016/01/09	Sat	11:18 AM	9.5		290		H
2016/01/09	Sat	06:06 PM	-0.8		-24		L
2016/01/10	Sun	12:49 AM	7.9		241		H
2016/01/10	Sun	05:59 AM	3.4		104		L
2016/01/10	Sun	12:01 PM	9.6		293		H
2016/01/10	Sun	06:44 PM	-1.0		-30		L
2016/01/11	Mon	01:27 AM	8.2		250		H
2016/01/11	Mon	06:43 AM	3.2		98		L
2016/01/11	Mon	12:44 PM	9.6		293		H
2016/01/11	Mon	07:23 PM	-1.1		-34		L
2016/01/12	Tue	02:07 AM	8.4		256		H
2016/01/12	Tue	07:29 AM	3.0		91		L
2016/01/12	Tue	01:28 PM	9.3		283		H
2016/01/12	Tue	08:03 PM	-0.9		-27		L
2016/01/13	Wed	02:47 AM	8.6		262		H
2016/01/13	Wed	08:18 AM	2.8		85		L
2016/01/13	Wed	02:16 PM	8.9		271		H
2016/01/13	Wed	08:44 PM	-0.4		-12		L
2016/01/14	Thu	03:30 AM	8.7		265		H
2016/01/14	Thu	09:12 AM	2.6		79		L
2016/01/14	Thu	03:09 PM	8.2		250		H
2016/01/14	Thu	09:29 PM	0.3		9		L
2016/01/15	Fri	04:15 AM	8.8		268		H
2016/01/15	Fri	10:13 AM	2.4		73		L
2016/01/15	Fri	04:10 PM	7.5		229		H
2016/01/15	Fri	10:17 PM	1.1		34		L
2016/01/16	Sat	05:04 AM	8.9		271		H
2016/01/16	Sat	11:21 AM	2.1		64		L
2016/01/16	Sat	05:20 PM	6.8		207		H
2016/01/16	Sat	11:10 PM	1.9		58		L
2016/01/17	Sun	05:57 AM	8.9		271		H
2016/01/17	Sun	12:34 PM	1.7		52		L
2016/01/17	Sun	06:42 PM	6.4		195		H
2016/01/18	Mon	12:11 AM	2.7		82		L
2016/01/18	Mon	06:54 AM	9.0		274		H
2016/01/18	Mon	01:48 PM	1.2		37		L
2016/01/18	Mon	08:09 PM	6.4		195		H
2016/01/19	Tue	01:19 AM	3.2		98		L
2016/01/19	Tue	07:54 AM	9.2		280		H
2016/01/19	Tue	02:55 PM	0.5		15		L
2016/01/19	Tue	09:27 PM	6.7		204		H
2016/01/20	Wed	02:28 AM	3.5		107		L
2016/01/20	Wed	08:52 AM	9.4		287		H
2016/01/20	Wed	03:51 PM	0.0		0		L
2016/01/20	Wed	10:31 PM	7.2		219		H
2016/01/21	Thu	03:32 AM	3.6		110		L
2016/01/21	Thu	09:46 AM	9.6		293		H
2016/01/21	Thu	04:41 PM	-0.5		-15		L
2016/01/21	Thu	11:23 PM	7.6		232		H
2016/01/22	Fri	04:28 AM	3.5		107		L
2016/01/22	Fri	10:36 AM	9.6		293		H
2016/01/22	Fri	05:26 PM	-0.7		-21		L
2016/01/23	Sat	12:08 AM	8.0		244		H
2016/01/23	Sat	05:19 AM	3.3		101		L
2016/01/23	Sat	11:23 AM	9.6		293		H
2016/01/23	Sat	06:07 PM	-0.8		-24		L
2016/01/24	Sun	12:48 AM	8.2		250		H
2016/01/24	Sun	06:06 AM	3.1		94		L
2016/01/24	Sun	12:07 PM	9.4		287		H
2016/01/24	Sun	06:45 PM	-0.7		-21		L
2016/01/25	Mon	01:24 AM	8.3		253		H
2016/01/25	Mon	06:49 AM	2.9		88		L
2016/01/25	Mon	12:48 PM	9.1		277		H
2016/01/25	Mon	07:20 PM	-0.4		-12		L
2016/01/26	Tue	01:59 AM	8.3		253		H
2016/01/26	Tue	07:30 AM	2.8		85		L
2016/01/26	Tue	01:28 PM	8.7		265		H
2016/01/26	Tue	07:54 PM	0.0		0		L
2016/01/27	Wed	02:33 AM	8.3		253		H
2016/01/27	Wed	08:11 AM	2.7		82		L
2016/01/27	Wed	02:07 PM	8.2		250		H
2016/01/27	Wed	08:28 PM	0.5		15		L
2016/01/28	Thu	03:07 AM	8.2		250		H
2016/01/28	Thu	08:54 AM	2.7		82		L
2016/01/28	Thu	02:48 PM	7.6		232		H
2016/01/28	Thu	09:02 PM	1.2		37		L
2016/01/29	Fri	03:42 AM	8.1		247		H
2016/01/29	Fri	09:41 AM	2.8		85		L
2016/01/29	Fri	03:33 PM	6.9		210		H
2016/01/29	Fri	09:37 PM	1.8		55		L
2016/01/30	Sat	04:19 AM	8.0		244		H
2016/01/30	Sat	10:34 AM	2.8		85		L
2016/01/30	Sat	04:25 PM	6.3		192		H
2016/01/30	Sat	10:16 PM	2.5		76		L
2016/01/31	Sun	04:59 AM	7.9		241		H
2016/01/31	Sun	11:32 AM	2.7		82		L
2016/01/31	Sun	05:29 PM	5.8		177		H
2016/01/31	Sun	11:01 PM	3.2		98		L
2016/02/01	Mon	05:45 AM	7.8		238		H
2016/02/01	Mon	12:38 PM	2.5		76		L
2016/02/01	Mon	06:46 PM	5.6		171		H
2016/02/01	Mon	11:57 PM	3.8		116		L
2016/02/02	Tue	06:37 AM	7.9		241		H
2016/02/02	Tue	01:46 PM	2.1		64		L
2016/02/02	Tue	08:10 PM	5.7		174		H
2016/02/03	Wed	01:04 AM	4.1		125		L
2016/02/03	Wed	07:35 AM	8.0		244		H
2016/02/03	Wed	02:46 PM	1.5		46		L
2016/02/03	Wed	09:22 PM	6.1		186		H
2016/02/04	Thu	02:12 AM	4.2		128		L
2016/02/04	Thu	08:32 AM	8.3		253		H
2016/02/04	Thu	03:36 PM	0.9		27		L
2016/02/04	Thu	10:16 PM	6.6		201		H
2016/02/05	Fri	03:13 AM	4.0		122		L
2016/02/05	Fri	09:24 AM	8.7		265		H
2016/02/05	Fri	04:21 PM	0.2		6		L
2016/02/05	Fri	11:01 PM	7.1		216		H
2016/02/06	Sat	04:06 AM	3.7		113		L
2016/02/06	Sat	10:13 AM	9.1		277		H
2016/02/06	Sat	05:03 PM	-0.4		-12		L
2016/02/06	Sat	11:42 PM	7.6		232		H
2016/02/07	Sun	04:55 AM	3.2		98		L
2016/02/07	Sun	11:01 AM	9.4		287		H
2016/02/07	Sun	05:43 PM	-0.8		-24		L
2016/02/08	Mon	12:20 AM	8.1		247		H
2016/02/08	Mon	05:42 AM	2.7		82		L
2016/02/08	Mon	11:48 AM	9.6		293		H
2016/02/08	Mon	06:22 PM	-1.0		-30		L
2016/02/09	Tue	12:58 AM	8.5		259		H
2016/02/09	Tue	06:29 AM	2.2		67		L
2016/02/09	Tue	12:34 PM	9.6		293		H
2016/02/09	Tue	07:01 PM	-1.0		-30		L
2016/02/10	Wed	01:37 AM	8.9		271		H
2016/02/10	Wed	07:15 AM	1.7		52		L
2016/02/10	Wed	01:21 PM	9.4		287		H
2016/02/10	Wed	07:41 PM	-0.7		-21		L
2016/02/11	Thu	02:16 AM	9.1		277		H
2016/02/11	Thu	08:04 AM	1.4		43		L
2016/02/11	Thu	02:11 PM	8.9		271		H
2016/02/11	Thu	08:22 PM	-0.2		-6		L
2016/02/12	Fri	02:57 AM	9.2		280		H
2016/02/12	Fri	08:56 AM	1.2		37		L
2016/02/12	Fri	03:04 PM	8.2		250		H
2016/02/12	Fri	09:05 PM	0.6		18		L
2016/02/13	Sat	03:41 AM	9.2		280		H
2016/02/13	Sat	09:54 AM	1.2		37		L
2016/02/13	Sat	04:04 PM	7.5		229		H
2016/02/13	Sat	09:52 PM	1.5		46		L
2016/02/14	Sun	04:29 AM	9.1		277		H
2016/02/14	Sun	10:58 AM	1.2		37		L
2016/02/14	Sun	05:12 PM	6.8		207		H
2016/02/14	Sun	10:46 PM	2.4		73		L
2016/02/15	Mon	05:22 AM	8.9		271		H
2016/02/15	Mon	12:09 PM	1.1		34		L
2016/02/15	Mon	06:31 PM	6.3		192		H
2016/02/15	Mon	11:49 PM	3.2		98		L
2016/02/16	Tue	06:23 AM	8.7		265		H
2016/02/16	Tue	01:25 PM	1.0		30		L
2016/02/16	Tue	08:00 PM	6.3		192		H
2016/02/17	Wed	01:03 AM	3.7		113		L
2016/02/17	Wed	07:30 AM	8.6		262		H
2016/02/17	Wed	02:36 PM	0.6		18		L
2016/02/17	Wed	09:20 PM	6.6		201		H
2016/02/18	Thu	02:20 AM	3.8		116		L
2016/02/18	Thu	08:36 AM	8.6		262		H
2016/02/18	Thu	03:36 PM	0.3		9		L
2016/02/18	Thu	10:20 PM	7.1		216		H
2016/02/19	Fri	03:27 AM	3.5		107		L
2016/02/19	Fri	09:35 AM	8.8		268		H
2016/02/19	Fri	04:26 PM	0.0		0		L
2016/02/19	Fri	11:07 PM	7.5		229		H
